first,last,prediction
1696219680,1696219689,99.99995231628418
1696219690,1696219699,99.99999403953552
1696219700,1696219709,99.99990463256836
1696219710,1696219719,99.99999403953552
1696219720,1696219729,99.98490810394287
1696219730,1696219739,99.98432397842407
1696219740,1696219749,99.99996423721313
1696219750,1696219759,99.99738931655884
1696219760,1696219769,99.99992847442627
1696219770,1696219779,99.99415874481201
1696219780,1696219789,79.13030982017517
1696219790,1696219799,0.010294611274730414
1696219800,1696219809,99.99998807907104
1696219810,1696219819,100.0
1696219820,1696219829,99.99999403953552
1696219830,1696219839,99.99998807907104
1696219840,1696219849,100.0
1696219850,1696219859,99.99999403953552
1696219860,1696219869,99.99998211860657
1696219870,1696219879,99.99999403953552
1696219880,1696219889,99.99850988388062
1696219890,1696219899,99.99999403953552
1696219900,1696219909,99.99999403953552
1696219910,1696219919,100.0
1696219920,1696219929,100.0
1696219930,1696219939,100.0
1696219940,1696219949,99.99939799308777
1696219950,1696219959,99.99523162841797
1696219960,1696219969,99.98398423194885
1696219970,1696219979,99.99970197677612
1696219980,1696219989,100.0
1696219990,1696219999,99.99778270721436
1696220000,1696220009,99.98996257781982
1696220010,1696220019,99.99914765357971
1696220020,1696220029,99.99504089355469
1696220030,1696220039,99.99963045120239
1696220040,1696220049,99.8782753944397
1696220050,1696220059,99.9997615814209
1696220060,1696220069,99.99856948852539
1696220070,1696220079,99.99999403953552
1696220080,1696220089,100.0
1696220090,1696220099,99.99999403953552
1696220100,1696220109,99.99998807907104
1696220110,1696220119,100.0
1696220120,1696220129,99.99995231628418
1696220130,1696220139,100.0
1696220140,1696220149,100.0
1696220150,1696220159,100.0
1696220160,1696220169,100.0
1696220170,1696220179,99.99997615814209
1696220180,1696220189,99.9984622001648
1696220190,1696220199,99.99995231628418
1696220200,1696220209,99.99999403953552
1696220210,1696220219,99.99986290931702
1696220220,1696220229,99.99850988388062
1696220230,1696220239,99.9997079372406
1696220240,1696220249,100.0
1696220250,1696220259,100.0
1696220260,1696220269,99.99998211860657
1696220270,1696220279,100.0
1696220280,1696220289,99.99999403953552
1696220290,1696220299,100.0
1696220300,1696220309,100.0
1696220310,1696220319,99.99980330467224
1696220320,1696220329,100.0
1696220330,1696220339,100.0
1696220340,1696220349,100.0
1696220350,1696220359,100.0
1696220360,1696220369,100.0
1696220370,1696220379,100.0
1696220380,1696220389,100.0
1696220390,1696220399,99.99998807907104
1696220400,1696220409,36.038634181022644
1696220410,1696220419,99.9769926071167
1696220420,1696220429,99.99961853027344
1696220430,1696220439,99.9885082244873
1696220440,1696220449,99.98893141746521
1696220450,1696220459,99.99997019767761
1696220460,1696220469,98.49063754081726
1696220470,1696220479,28.03168296813965
1696220480,1696220489,94.96932625770569
1696220490,1696220499,99.99985694885254
1696220500,1696220509,100.0
1696220510,1696220519,99.99999403953552
1696220520,1696220529,100.0
1696220530,1696220539,100.0
1696220540,1696220549,99.99998211860657
1696220550,1696220559,99.99998807907104
1696220560,1696220569,100.0
1696220570,1696220579,99.9991774559021
1696220580,1696220589,100.0
1696220590,1696220599,99.99993443489075
1696220600,1696220609,99.99992251396179
1696220610,1696220619,99.99996423721313
1696220620,1696220629,99.99142289161682
1696220630,1696220639,99.99837279319763
1696220640,1696220649,99.99967217445374
1696220650,1696220659,99.99826550483704
1696220660,1696220669,99.99966025352478
1696220670,1696220679,99.99953508377075
1696220680,1696220689,99.98388290405273
1696220690,1696220699,99.98351335525513
1696220700,1696220709,99.99997615814209
1696220710,1696220719,99.99963641166687
1696220720,1696220729,99.9951958656311
1696220730,1696220739,99.99999403953552
1696220740,1696220749,99.99979734420776
1696220750,1696220759,99.99993443489075
1696220760,1696220769,99.88895058631897
1696220770,1696220779,99.99998807907104
1696220780,1696220789,99.9998152256012
1696220790,1696220799,99.99994039535522
1696220800,1696220809,99.95985627174377
1696220810,1696220819,99.99405145645142
1696220820,1696220829,99.99564290046692
1696220830,1696220839,99.9998927116394
1696220840,1696220849,99.99794960021973
1696220850,1696220859,99.9997079372406
1696220860,1696220869,99.96570348739624
1696220870,1696220879,99.99935030937195
1696220880,1696220889,99.99762177467346
1696220890,1696220899,99.99960660934448
1696220900,1696220909,99.99964237213135
1696220910,1696220919,99.99991655349731
1696220920,1696220929,99.99988675117493
1696220930,1696220939,99.99969005584717
1696220940,1696220949,99.99977946281433
1696220950,1696220959,99.99995827674866
1696220960,1696220969,99.99962449073792
1696220970,1696220979,99.94045495986938
1696220980,1696220989,99.99971985816956
1696220990,1696220999,99.99997615814209
1696221000,1696221009,100.0
1696221010,1696221019,99.99998807907104
1696221020,1696221029,99.99998807907104
1696221030,1696221039,100.0
1696221040,1696221049,99.99999403953552
1696221050,1696221059,99.99908804893494
1696221060,1696221069,99.9999463558197
1696221070,1696221079,99.96824264526367
1696221080,1696221089,99.99998807907104
1696221090,1696221099,99.99992251396179
1696221100,1696221109,99.99940395355225
1696221110,1696221119,99.99688863754272
1696221120,1696221129,99.99998807907104
1696221130,1696221139,100.0
1696221140,1696221149,99.99949336051941
1696221150,1696221159,100.0
1696221160,1696221169,98.89543652534485
1696221170,1696221179,99.95445013046265
1696221180,1696221189,100.0
1696221190,1696221199,100.0
1696221200,1696221209,99.9735176563263
1696221210,1696221219,99.99997019767761
1696221220,1696221229,99.99996423721313
1696221230,1696221239,100.0
1696221240,1696221249,99.99988675117493
1696221250,1696221259,99.99733567237854
1696221260,1696221269,100.0
1696221270,1696221279,100.0
1696221280,1696221289,99.99998807907104
1696221290,1696221299,99.99831318855286
1696221300,1696221309,100.0
1696221310,1696221319,99.99999403953552
1696221320,1696221329,99.9992311000824
1696221330,1696221339,99.99999403953552
1696221340,1696221349,99.99999403953552
1696221350,1696221359,100.0
1696221360,1696221369,100.0
1696221370,1696221379,100.0
1696221380,1696221389,99.99969601631165
1696221390,1696221399,100.0
1696221400,1696221409,100.0
1696221410,1696221419,99.99993443489075
